emoji	signification
👆🏾	Main Avec Index Pointant Vers Le Haut : Peau Mate
👆🏿	Main Avec Index Pointant Vers Le Haut : Peau Foncée
🖕	Doigt D’honneur
🖕🏻	Doigt D’honneur : Peau Claire
🖕🏼	Doigt D’honneur : Peau Moyennement Claire
🖕🏽	Doigt D’honneur : Peau Légèrement Mate
🖕🏾	Doigt D’honneur : Peau Mate
🖕🏿	Doigt D’honneur : Peau Foncée
👇	Main Avec Index Pointant Vers Le Bas
👇🏻	Main Avec Index Pointant Vers Le Bas : Peau Claire
👇🏼	Main Avec Index Pointant Vers Le Bas : Peau Moyennement Claire
👇🏽	Main Avec Index Pointant Vers Le Bas : Peau Légèrement Mate
👇🏾	Main Avec Index Pointant Vers Le Bas : Peau Mate
👇🏿	Main Avec Index Pointant Vers Le Bas : Peau Foncée
☝️	Index Pointant Vers Le Haut
☝🏻	Index Pointant Vers Le Haut : Peau Claire
☝🏼	Index Pointant Vers Le Haut : Peau Moyennement Claire
☝🏽	Index Pointant Vers Le Haut : Peau Légèrement Mate
☝🏾	Index Pointant Vers Le Haut : Peau Mate
☝🏿	Index Pointant Vers Le Haut : Peau Foncée
👍	Pouce Vers Le Haut
👍🏻	Pouce Vers Le Haut : Peau Claire
👍🏼	Pouce Vers Le Haut : Peau Moyennement Claire
👍🏽	Pouce Vers Le Haut : Peau Légèrement Mate
👍🏾	Pouce Vers Le Haut : Peau Mate
👍🏿	Pouce Vers Le Haut : Peau Foncée
👎	Pouce Vers Le Bas
👎🏻	Pouce Vers Le Bas : Peau Claire
👎🏼	Pouce Vers Le Bas : Peau Moyennement Claire
👎🏽	Pouce Vers Le Bas : Peau Légèrement Mate
👎🏾	Pouce Vers Le Bas : Peau Mate
👎🏿	Pouce Vers Le Bas : Peau Foncée
✊	Poing Levé
✊🏻	Poing Levé : Peau Claire
✊🏼	Poing Levé : Peau Moyennement Claire
✊🏽	Poing Levé : Peau Légèrement Mate
✊🏾	Poing Levé : Peau Mate
✊🏿	Poing Levé : Peau Foncée
👊	Poing De Face
👊🏻	Poing De Face : Peau Claire
👊🏼	Poing De Face : Peau Moyennement Claire
👊🏽	Poing De Face : Peau Légèrement Mate
👊🏾	Poing De Face : Peau Mate
👊🏿	Poing De Face : Peau Foncée
🤛	Poing à Gauche
🤛🏻	Poing à Gauche : Peau Claire
🤛🏼	Poing à Gauche : Peau Moyennement Claire
🤛🏽	Poing à Gauche : Peau Légèrement Mate
🤛🏾	Poing à Gauche : Peau Mate
🤛🏿	Poing à Gauche : Peau Foncée
🤜	Poing à Droite
🤜🏻	Poing à Droite : Peau Claire
🤜🏼	Poing à Droite : Peau Moyennement Claire
🤜🏽	Poing à Droite : Peau Légèrement Mate
🤜🏾	Poing à Droite : Peau Mate
🤜🏿	Poing à Droite : Peau Foncée
👏	Applaudissements
👏🏻	Applaudissements : Peau Claire
👏🏼	Applaudissements : Peau Moyennement Claire
👏🏽	Applaudissements : Peau Légèrement Mate
👏🏾	Applaudissements : Peau Mate
👏🏿	Applaudissements : Peau Foncée
🙌	Mains Levées
🙌🏻	Mains Levées : Peau Claire
🙌🏼	Mains Levées : Peau Moyennement Claire
🙌🏽	Mains Levées : Peau Légèrement Mate
🙌🏾	Mains Levées : Peau Mate
🙌🏿	Mains Levées : Peau Foncée
👐	Mains Ouvertes
👐🏻	Mains Ouvertes : Peau Claire
👐🏼	Mains Ouvertes : Peau Moyennement Claire
👐🏽	Mains Ouvertes : Peau Légèrement Mate
👐🏾	Mains Ouvertes : Peau Mate
👐🏿	Mains Ouvertes : Peau Foncée
🤲	Paume Contre Paume Doigts Vers Le Haut
🤲🏻	Paume Contre Paume Doigts Vers Le Haut : Peau Claire
🤲🏼	Paume Contre Paume Doigts Vers Le Haut : Peau Moyennement Claire
🤲🏽	Paume Contre Paume Doigts Vers Le Haut : Peau Légèrement Mate
🤲🏾	Paume Contre Paume Doigts Vers Le Haut : Peau Mate
