emoji	signification
👸🏻	Princesse : Peau Claire
👸🏼	Princesse : Peau Moyennement Claire
👸🏽	Princesse : Peau Légèrement Mate
👸🏾	Princesse : Peau Mate
👸🏿	Princesse : Peau Foncée
👳	Personne En Turban
👳🏻	Personne En Turban : Peau Claire
👳🏼	Personne En Turban : Peau Moyennement Claire
👳🏽	Personne En Turban : Peau Légèrement Mate
👳🏾	Personne En Turban : Peau Mate
👳🏿	Personne En Turban : Peau Foncée
👳‍♂️	Homme En Turban
👳🏻‍♂️	Homme En Turban : Peau Claire
👳🏼‍♂️	Homme En Turban : Peau Moyennement Claire
👳🏽‍♂️	Homme En Turban : Peau Légèrement Mate
👳🏾‍♂️	Homme En Turban : Peau Mate
👳🏿‍♂️	Homme En Turban : Peau Foncée
👳‍♀️	Femme En Turban
👳🏻‍♀️	Femme En Turban : Peau Claire
👳🏼‍♀️	Femme En Turban : Peau Moyennement Claire
👳🏽‍♀️	Femme En Turban : Peau Légèrement Mate
👳🏾‍♀️	Femme En Turban : Peau Mate
👳🏿‍♀️	Femme En Turban : Peau Foncée
👲	Homme Avec Casquette Chinoise
👲🏻	Homme Avec Casquette Chinoise : Peau Claire
👲🏼	Homme Avec Casquette Chinoise : Peau Moyennement Claire
👲🏽	Homme Avec Casquette Chinoise : Peau Légèrement Mate
👲🏾	Homme Avec Casquette Chinoise : Peau Mate
👲🏿	Homme Avec Casquette Chinoise : Peau Foncée
🧕	Femme Avec Foulard
🧕🏻	Femme Avec Foulard : Peau Claire
🧕🏼	Femme Avec Foulard : Peau Moyennement Claire
🧕🏽	Femme Avec Foulard : Peau Légèrement Mate
🧕🏾	Femme Avec Foulard : Peau Mate
🧕🏿	Femme Avec Foulard : Peau Foncée
🤵	Personne En Smoking
🤵🏻	Personne En Smoking : Peau Claire
🤵🏼	Personne En Smoking : Peau Moyennement Claire
🤵🏽	Personne En Smoking : Peau Légèrement Mate
🤵🏾	Personne En Smoking : Peau Mate
🤵🏿	Personne En Smoking : Peau Foncée
🤵‍♂️	Homme En Smoking
🤵🏻‍♂️	Homme En Smoking : Peau Claire
🤵🏼‍♂️	Homme En Smoking : Peau Moyennement Claire
🤵🏽‍♂️	Homme En Smoking : Peau Légèrement Mate
🤵🏾‍♂️	Homme En Smoking : Peau Mate
🤵🏿‍♂️	Homme En Smoking : Peau Foncée
🤵‍♀️	Femme En Smoking
🤵🏻‍♀️	Femme En Smoking : Peau Claire
🤵🏼‍♀️	Femme En Smoking : Peau Moyennement Claire
🤵🏽‍♀️	Femme En Smoking : Peau Légèrement Mate
🤵🏾‍♀️	Femme En Smoking : Peau Mate
🤵🏿‍♀️	Femme En Smoking : Peau Foncée
👰	Personne Mariée Avec Voile
👰🏻	Personne Mariée Avec Voile : Peau Claire
👰🏼	Personne Mariée Avec Voile : Peau Moyennement Claire
👰🏽	Personne Mariée Avec Voile : Peau Légèrement Mate
👰🏾	Personne Mariée Avec Voile : Peau Mate
👰🏿	Personne Mariée Avec Voile : Peau Foncée
👰‍♂️	Homme Avec Voile
👰🏻‍♂️	Homme Avec Voile : Peau Claire
👰🏼‍♂️	Homme Avec Voile : Peau Moyennement Claire
👰🏽‍♂️	Homme Avec Voile : Peau Légèrement Mate
👰🏾‍♂️	Homme Avec Voile : Peau Mate
👰🏿‍♂️	Homme Avec Voile : Peau Foncée
👰‍♀️	Femme Avec Voile
👰🏻‍♀️	Femme Avec Voile : Peau Claire
👰🏼‍♀️	Femme Avec Voile : Peau Moyennement Claire
👰🏽‍♀️	Femme Avec Voile : Peau Légèrement Mate
👰🏾‍♀️	Femme Avec Voile : Peau Mate
👰🏿‍♀️	Femme Avec Voile : Peau Foncée
🤰	Femme Enceinte
🤰🏻	Femme Enceinte : Peau Claire
🤰🏼	Femme Enceinte : Peau Moyennement Claire
🤰🏽	Femme Enceinte : Peau Légèrement Mate
🤰🏾	Femme Enceinte : Peau Mate
🤰🏿	Femme Enceinte : Peau Foncée
🤱	Allaitement
🤱🏻	Allaitement : Peau Claire
🤱🏼	Allaitement : Peau Moyennement Claire
🤱🏽	Allaitement : Peau Légèrement Mate
🤱🏾	Allaitement : Peau Mate
🤱🏿	Allaitement : Peau Foncée
👩‍🍼	Femme Allaitant Un Bébé
👩🏻‍🍼	Femme Allaitant Un Bébé : Peau Claire
👩🏼‍🍼	Femme Allaitant Un Bébé : Peau Moyennement Claire
👩🏽‍🍼	Femme Allaitant Un Bébé : Peau Légèrement Mate
👩🏾‍🍼	Femme Allaitant Un Bébé : Peau Mate
👩🏿‍🍼	Femme Allaitant Un Bébé : Peau Foncée
👨‍🍼	Homme Allaitant Un Bébé
👨🏻‍🍼	Homme Allaitant Un Bébé : Peau Claire
👨🏼‍🍼	Homme Allaitant Un Bébé : Peau Moyennement Claire
👨🏽‍🍼	Homme Allaitant Un Bébé : Peau Légèrement Mate
👨🏾‍🍼	Homme Allaitant Un Bébé : Peau Mate
👨🏿‍🍼	Homme Allaitant Un Bébé : Peau Foncée
🧑‍🍼	Personne Allaitant Un Bébé
🧑🏻‍🍼	Personne Allaitant Un Bébé : Peau Claire
🧑🏼‍🍼	Personne Allaitant Un Bébé : Peau Moyennement Claire
🧑🏽‍🍼	Personne Allaitant Un Bébé : Peau Légèrement Mate
🧑🏾‍🍼	Personne Allaitant Un Bébé : Peau Mate
🧑🏿‍🍼	Personne Allaitant Un Bébé : Peau Foncée
👼	Bébé Ange
👼🏻	Bébé Ange : Peau Claire
👼🏼	Bébé Ange : Peau Moyennement Claire
👼🏽	Bébé Ange : Peau Légèrement Mate
👼🏾	Bébé Ange : Peau Mate
👼🏿	Bébé Ange : Peau Foncée
🎅	Père Noël
🎅🏻	Père Noël : Peau Claire
🎅🏼	Père Noël : Peau Moyennement Claire
🎅🏽	Père Noël : Peau Légèrement Mate
🎅🏾	Père Noël : Peau Mate
🎅🏿	Père Noël : Peau Foncée
🤶	Mère Noël
🤶🏻	Mère Noël : Peau Claire
🤶🏼	Mère Noël : Peau Moyennement Claire
🤶🏽	Mère Noël : Peau Légèrement Mate
🤶🏾	Mère Noël : Peau Mate
🤶🏿	Mère Noël : Peau Foncée
🧑‍🎄	Santa
🧑🏻‍🎄	Santa : Peau Claire
🧑🏼‍🎄	Santa : Peau Moyennement Claire
🧑🏽‍🎄	Santa : Peau Légèrement Mate
🧑🏾‍🎄	Santa : Peau Mate
🧑🏿‍🎄	Santa : Peau Foncée
🦸	Super-héros
🦸🏻	Super-héros : Peau Claire
🦸🏼	Super-héros : Peau Moyennement Claire
🦸🏽	Super-héros : Peau Légèrement Mate
🦸🏾	Super-héros : Peau Mate
🦸🏿	Super-héros : Peau Foncée
🦸‍♂️	Super-héros Homme
🦸🏻‍♂️	Super-héros Homme : Peau Claire
🦸🏼‍♂️	Super-héros Homme : Peau Moyennement Claire
🦸🏽‍♂️	Super-héros Homme : Peau Légèrement Mate
🦸🏾‍♂️	Super-héros Homme : Peau Mate
🦸🏿‍♂️	Super-héros Homme : Peau Foncée
🦸‍♀️	Super-héroïne
🦸🏻‍♀️	Super-héroïne : Peau Claire
🦸🏼‍♀️	Super-héroïne : Peau Moyennement Claire
🦸🏽‍♀️	Super-héroïne : Peau Légèrement Mate
🦸🏾‍♀️	Super-héroïne : Peau Mate
🦸🏿‍♀️	Super-héroïne : Peau Foncée
🦹	Super-vilain
🦹🏻	Super-vilain : Peau Claire
🦹🏼	Super-vilain : Peau Moyennement Claire
🦹🏽	Super-vilain : Peau Légèrement Mate
🦹🏾	Super-vilain : Peau Mate
🦹🏿	Super-vilain : Peau Foncée
🦹‍♂️	Super-vilain Homme
🦹🏻‍♂️	Super-vilain Homme : Peau Claire
🦹🏼‍♂️	Super-vilain Homme : Peau Moyennement Claire
🦹🏽‍♂️	Super-vilain Homme : Peau Légèrement Mate
🦹🏾‍♂️	Super-vilain Homme : Peau Mate
🦹🏿‍♂️	Super-vilain Homme : Peau Foncée
🦹‍♀️	Super-vilain Femme
🦹🏻‍♀️	Super-vilain Femme : Peau Claire
🦹🏼‍♀️	Super-vilain Femme : Peau Moyennement Claire
🦹🏽‍♀️	Super-vilain Femme : Peau Légèrement Mate
🦹🏾‍♀️	Super-vilain Femme : Peau Mate
🦹🏿‍♀️	Super-vilain Femme : Peau Foncée
🧙	Mage
🧙🏻	Mage : Peau Claire
🧙🏼	Mage : Peau Moyennement Claire
🧙🏽	Mage : Peau Légèrement Mate
🧙🏾	Mage : Peau Mate
🧙🏿	Mage : Peau Foncée
🧙‍♂️	Mage Homme
🧙🏻‍♂️	Mage Homme : Peau Claire
🧙🏼‍♂️	Mage Homme : Peau Moyennement Claire
🧙🏽‍♂️	Mage Homme : Peau Légèrement Mate
🧙🏾‍♂️	Mage Homme : Peau Mate
🧙🏿‍♂️	Mage Homme : Peau Foncée
🧙‍♀️	Mage Femme
🧙🏻‍♀️	Mage Femme : Peau Claire
🧙🏼‍♀️	Mage Femme : Peau Moyennement Claire
🧙🏽‍♀️	Mage Femme : Peau Légèrement Mate
🧙🏾‍♀️	Mage Femme : Peau Mate
🧙🏿‍♀️	Mage Femme : Peau Foncée
🧚	Personnage Féérique
🧚🏻	Personnage Féérique : Peau Claire
🧚🏼	Personnage Féérique : Peau Moyennement Claire
🧚🏽	Personnage Féérique : Peau Légèrement Mate
🧚🏾	Personnage Féérique : Peau Mate
🧚🏿	Personnage Féérique : Peau Foncée
🧚‍♂️	Féetaud
🧚🏻‍♂️	Féetaud : Peau Claire
🧚🏼‍♂️	Féetaud : Peau Moyennement Claire
🧚🏽‍♂️	Féetaud : Peau Légèrement Mate
🧚🏾‍♂️	Féetaud : Peau Mate
🧚🏿‍♂️	Féetaud : Peau Foncée
🧚‍♀️	Fée
🧚🏻‍♀️	Fée : Peau Claire
🧚🏼‍♀️	Fée : Peau Moyennement Claire
🧚🏽‍♀️	Fée : Peau Légèrement Mate
🧚🏾‍♀️	Fée : Peau Mate
🧚🏿‍♀️	Fée : Peau Foncée
🧛	Vampire
🧛🏻	Vampire : Peau Claire
🧛🏼	Vampire : Peau Moyennement Claire
🧛🏽	Vampire : Peau Légèrement Mate
🧛🏾	Vampire : Peau Mate
🧛🏿	Vampire : Peau Foncée
🧛‍♂️	Vampire Homme
🧛🏻‍♂️	Vampire Homme : Peau Claire
🧛🏼‍♂️	Vampire Homme : Peau Moyennement Claire
🧛🏽‍♂️	Vampire Homme : Peau Légèrement Mate
🧛🏾‍♂️	Vampire Homme : Peau Mate
🧛🏿‍♂️	Vampire Homme : Peau Foncée
🧛‍♀️	Vampire Femme
🧛🏻‍♀️	Vampire Femme : Peau Claire
🧛🏼‍♀️	Vampire Femme : Peau Moyennement Claire
🧛🏽‍♀️	Vampire Femme : Peau Légèrement Mate
🧛🏾‍♀️	Vampire Femme : Peau Mate
🧛🏿‍♀️	Vampire Femme : Peau Foncée
🧜	Créature Aquatique
🧜🏻	Créature Aquatique : Peau Claire
🧜🏼	Créature Aquatique : Peau Moyennement Claire
🧜🏽	Créature Aquatique : Peau Légèrement Mate
🧜🏾	Créature Aquatique : Peau Mate
🧜🏿	Créature Aquatique : Peau Foncée
🧜‍♂️	Triton
🧜🏻‍♂️	Triton : Peau Claire
🧜🏼‍♂️	Triton : Peau Moyennement Claire
🧜🏽‍♂️	Triton : Peau Légèrement Mate
🧜🏾‍♂️	Triton : Peau Mate
🧜🏿‍♂️	Triton : Peau Foncée
🧜‍♀️	Sirène
🧜🏻‍♀️	Sirène : Peau Claire
🧜🏼‍♀️	Sirène : Peau Moyennement Claire
🧜🏽‍♀️	Sirène : Peau Légèrement Mate
🧜🏾‍♀️	Sirène : Peau Mate
🧜🏿‍♀️	Sirène : Peau Foncée
🧝	Elfe
🧝🏻	Elfe : Peau Claire
🧝🏼	Elfe : Peau Moyennement Claire
🧝🏽	Elfe : Peau Légèrement Mate
🧝🏾	Elfe : Peau Mate
🧝🏿	Elfe : Peau Foncée
🧝‍♂️	Elfe Homme
🧝🏻‍♂️	Elfe Homme : Peau Claire
🧝🏼‍♂️	Elfe Homme : Peau Moyennement Claire
🧝🏽‍♂️	Elfe Homme : Peau Légèrement Mate
🧝🏾‍♂️	Elfe Homme : Peau Mate
🧝🏿‍♂️	Elfe Homme : Peau Foncée
🧝‍♀️	Elfe Femme
🧝🏻‍♀️	Elfe Femme : Peau Claire
🧝🏼‍♀️	Elfe Femme : Peau Moyennement Claire
🧝🏽‍♀️	Elfe Femme : Peau Légèrement Mate
🧝🏾‍♀️	Elfe Femme : Peau Mate
🧝🏿‍♀️	Elfe Femme : Peau Foncée
🧞	Génie
🧞‍♂️	Génie Homme
🧞‍♀️	Génie Femme
🧟	Zombie
🧟‍♂️	Zombie Homme
🧟‍♀️	Zombie Femme
💆	Personne Qui Se Fait Masser
💆🏻	Personne Qui Se Fait Masser : Peau Claire
💆🏼	Personne Qui Se Fait Masser : Peau Moyennement Claire
💆🏽	Personne Qui Se Fait Masser : Peau Légèrement Mate
💆🏾	Personne Qui Se Fait Masser : Peau Mate
💆🏿	Personne Qui Se Fait Masser : Peau Foncée
💆‍♂️	Homme Qui Se Fait Masser
💆🏻‍♂️	Homme Qui Se Fait Masser : Peau Claire
💆🏼‍♂️	Homme Qui Se Fait Masser : Peau Moyennement Claire
💆🏽‍♂️	Homme Qui Se Fait Masser : Peau Légèrement Mate
💆🏾‍♂️	Homme Qui Se Fait Masser : Peau Mate
💆🏿‍♂️	Homme Qui Se Fait Masser : Peau Foncée
💆‍♀️	Femme Qui Se Fait Masser
💆🏻‍♀️	Femme Qui Se Fait Masser : Peau Claire
💆🏼‍♀️	Femme Qui Se Fait Masser : Peau Moyennement Claire
💆🏽‍♀️	Femme Qui Se Fait Masser : Peau Légèrement Mate
💆🏾‍♀️	Femme Qui Se Fait Masser : Peau Mate
💆🏿‍♀️	Femme Qui Se Fait Masser : Peau Foncée
💇	Personne Qui Se Fait Couper Les Cheveux
💇🏻	Personne Qui Se Fait Couper Les Cheveux : Peau Claire
💇🏼	Personne Qui Se Fait Couper Les Cheveux : Peau Moyennement Claire
💇🏽	Personne Qui Se Fait Couper Les Cheveux : Peau Légèrement Mate
💇🏾	Personne Qui Se Fait Couper Les Cheveux : Peau Mate
💇🏿	Personne Qui Se Fait Couper Les Cheveux : Peau Foncée
💇‍♂️	Homme Qui Se Fait Couper Les Cheveux
💇🏻‍♂️	Homme Qui Se Fait Couper Les Cheveux : Peau Claire
💇🏼‍♂️	Homme Qui Se Fait Couper Les Cheveux : Peau Moyennement Claire
💇🏽‍♂️	Homme Qui Se Fait Couper Les Cheveux : Peau Légèrement Mate
💇🏾‍♂️	Homme Qui Se Fait Couper Les Cheveux : Peau Mate
💇🏿‍♂️	Homme Qui Se Fait Couper Les Cheveux : Peau Foncée
💇‍♀️	Femme Qui Se Fait Couper Les Cheveux
💇🏻‍♀️	Femme Qui Se Fait Couper Les Cheveux : Peau Claire
💇🏼‍♀️	Femme Qui Se Fait Couper Les Cheveux : Peau Moyennement Claire
💇🏽‍♀️	Femme Qui Se Fait Couper Les Cheveux : Peau Légèrement Mate
💇🏾‍♀️	Femme Qui Se Fait Couper Les Cheveux : Peau Mate
💇🏿‍♀️	Femme Qui Se Fait Couper Les Cheveux : Peau Foncée
🚶	Personne Qui Marche
🚶🏻	Personne Qui Marche : Peau Claire
🚶🏼	Personne Qui Marche : Peau Moyennement Claire
🚶🏽	Personne Qui Marche : Peau Légèrement Mate
🚶🏾	Personne Qui Marche : Peau Mate
🚶🏿	Personne Qui Marche : Peau Foncée
🚶‍♂️	Homme Qui Marche
🚶🏻‍♂️	Homme Qui Marche : Peau Claire
🚶🏼‍♂️	Homme Qui Marche : Peau Moyennement Claire
🚶🏽‍♂️	Homme Qui Marche : Peau Légèrement Mate
🚶🏾‍♂️	Homme Qui Marche : Peau Mate
🚶🏿‍♂️	Homme Qui Marche : Peau Foncée
🚶‍♀️	Femme Qui Marche
🚶🏻‍♀️	Femme Qui Marche : Peau Claire
🚶🏼‍♀️	Femme Qui Marche : Peau Moyennement Claire
🚶🏽‍♀️	Femme Qui Marche : Peau Légèrement Mate
🚶🏾‍♀️	Femme Qui Marche : Peau Mate
🚶🏿‍♀️	Femme Qui Marche : Peau Foncée
🧍	Personne Debout
🧍🏻	Personne Debout : Peau Claire
🧍🏼	Personne Debout : Peau Moyennement Claire
🧍🏽	Personne Debout : Peau Légèrement Mate
🧍🏾	Personne Debout : Peau Mate
🧍🏿	Personne Debout : Peau Foncée
🧍‍♂️	Homme Debout
🧍🏻‍♂️	Homme Debout : Peau Claire
🧍🏼‍♂️	Homme Debout : Peau Moyennement Claire
🧍🏽‍♂️	Homme Debout : Peau Légèrement Mate
🧍🏾‍♂️	Homme Debout : Peau Mate
🧍🏿‍♂️	Homme Debout : Peau Foncée
🧍‍♀️	Femme Debout
🧍🏻‍♀️	Femme Debout : Peau Claire
🧍🏼‍♀️	Femme Debout : Peau Moyennement Claire
🧍🏽‍♀️	Femme Debout : Peau Légèrement Mate
🧍🏾‍♀️	Femme Debout : Peau Mate
🧍🏿‍♀️	Femme Debout : Peau Foncée
🧎	Personne à Genoux
🧎🏻	Personne à Genoux : Peau Claire
🧎🏼	Personne à Genoux : Peau Moyennement Claire
🧎🏽	Personne à Genoux : Peau Légèrement Mate
🧎🏾	Personne à Genoux : Peau Mate
🧎🏿	Personne à Genoux : Peau Foncée
🧎‍♂️	Homme à Genoux
🧎🏻‍♂️	Homme à Genoux : Peau Claire
🧎🏼‍♂️	Homme à Genoux : Peau Moyennement Claire
🧎🏽‍♂️	Homme à Genoux : Peau Légèrement Mate
🧎🏾‍♂️	Homme à Genoux : Peau Mate
🧎🏿‍♂️	Homme à Genoux : Peau Foncée
🧎‍♀️	Femme à Genoux
🧎🏻‍♀️	Femme à Genoux : Peau Claire
🧎🏼‍♀️	Femme à Genoux : Peau Moyennement Claire
🧎🏽‍♀️	Femme à Genoux : Peau Légèrement Mate
🧎🏾‍♀️	Femme à Genoux : Peau Mate
🧎🏿‍♀️	Femme à Genoux : Peau Foncée
🧑‍🦯	Personne Avec Une Canne Blanche
🧑🏻‍🦯	Personne Avec Une Canne Blanche : Peau Claire
🧑🏼‍🦯	Personne Avec Une Canne Blanche : Peau Moyennement Claire
🧑🏽‍🦯	Personne Avec Une Canne Blanche : Peau Légèrement Mate
🧑🏾‍🦯	Personne Avec Une Canne Blanche : Peau Mate
🧑🏿‍🦯	Personne Avec Une Canne Blanche : Peau Foncée
👨‍🦯	Homme Avec Canne Blanche
👨🏻‍🦯	Homme Avec Canne Blanche : Peau Claire
👨🏼‍🦯	Homme Avec Canne Blanche : Peau Moyennement Claire
👨🏽‍🦯	Homme Avec Canne Blanche : Peau Légèrement Mate
👨🏾‍🦯	Homme Avec Canne Blanche : Peau Mate
👨🏿‍🦯	Homme Avec Canne Blanche : Peau Foncée
👩‍🦯	Femme Avec Canne Blanche
👩🏻‍🦯	Femme Avec Canne Blanche : Peau Claire
👩🏼‍🦯	Femme Avec Canne Blanche : Peau Moyennement Claire
👩🏽‍🦯	Femme Avec Canne Blanche : Peau Légèrement Mate
👩🏾‍🦯	Femme Avec Canne Blanche : Peau Mate
👩🏿‍🦯	Femme Avec Canne Blanche : Peau Foncée
🧑‍🦼	Personne En Fauteuil Motorisé
🧑🏻‍🦼	Personne En Fauteuil Motorisé : Peau Claire
🧑🏼‍🦼	Personne En Fauteuil Motorisé : Peau Moyennement Claire
🧑🏽‍🦼	Personne En Fauteuil Motorisé : Peau Légèrement Mate
🧑🏾‍🦼	Personne En Fauteuil Motorisé : Peau Mate
🧑🏿‍🦼	Personne En Fauteuil Motorisé : Peau Foncée
👨‍🦼	Homme En Fauteuil Motorisé
👨🏻‍🦼	Homme En Fauteuil Motorisé : Peau Claire
👨🏼‍🦼	Homme En Fauteuil Motorisé : Peau Moyennement Claire
👨🏽‍🦼	Homme En Fauteuil Motorisé : Peau Légèrement Mate
👨🏾‍🦼	Homme En Fauteuil Motorisé : Peau Mate
👨🏿‍🦼	Homme En Fauteuil Motorisé : Peau Foncée
👩‍🦼	Femme En Fauteuil Motorisé
👩🏻‍🦼	Femme En Fauteuil Motorisé : Peau Claire
👩🏼‍🦼	Femme En Fauteuil Motorisé : Peau Moyennement Claire
👩🏽‍🦼	Femme En Fauteuil Motorisé : Peau Légèrement Mate
👩🏾‍🦼	Femme En Fauteuil Motorisé : Peau Mate
👩🏿‍🦼	Femme En Fauteuil Motorisé : Peau Foncée
🧑‍🦽	Personne En Fauteuil Roulant Manuel
🧑🏻‍🦽	Personne En Fauteuil Roulant Manuel : Peau Claire
🧑🏼‍🦽	Personne En Fauteuil Roulant Manuel : Peau Moyennement Claire
🧑🏽‍🦽	Personne En Fauteuil Roulant Manuel : Peau Légèrement Mate
🧑🏾‍🦽	Personne En Fauteuil Roulant Manuel : Peau Mate
🧑🏿‍🦽	Personne En Fauteuil Roulant Manuel : Peau Foncée
👨‍🦽	Homme En Fauteuil Roulant Manuel
👨🏻‍🦽	Homme En Fauteuil Roulant Manuel : Peau Claire
👨🏼‍🦽	Homme En Fauteuil Roulant Manuel : Peau Moyennement Claire
👨🏽‍🦽	Homme En Fauteuil Roulant Manuel : Peau Légèrement Mate
👨🏾‍🦽	Homme En Fauteuil Roulant Manuel : Peau Mate
👨🏿‍🦽	Homme En Fauteuil Roulant Manuel : Peau Foncée
👩‍🦽	Femme En Fauteuil Roulant Manuel
👩🏻‍🦽	Femme En Fauteuil Roulant Manuel : Peau Claire
👩🏼‍🦽	Femme En Fauteuil Roulant Manuel : Peau Moyennement Claire
👩🏽‍🦽	Femme En Fauteuil Roulant Manuel : Peau Légèrement Mate
👩🏾‍🦽	Femme En Fauteuil Roulant Manuel : Peau Mate
👩🏿‍🦽	Femme En Fauteuil Roulant Manuel : Peau Foncée
🏃	Personne Qui Court
🏃🏻	Personne Qui Court : Peau Claire
🏃🏼	Personne Qui Court : Peau Moyennement Claire
🏃🏽	Personne Qui Court : Peau Légèrement Mate
🏃🏾	Personne Qui Court : Peau Mate
🏃🏿	Personne Qui Court : Peau Foncée
🏃‍♂️	Homme Qui Court
🏃🏻‍♂️	Homme Qui Court : Peau Claire
🏃🏼‍♂️	Homme Qui Court : Peau Moyennement Claire
🏃🏽‍♂️	Homme Qui Court : Peau Légèrement Mate
🏃🏾‍♂️	Homme Qui Court : Peau Mate
🏃🏿‍♂️	Homme Qui Court : Peau Foncée
🏃‍♀️	Femme Qui Court
🏃🏻‍♀️	Femme Qui Court : Peau Claire
🏃🏼‍♀️	Femme Qui Court : Peau Moyennement Claire
🏃🏽‍♀️	Femme Qui Court : Peau Légèrement Mate
🏃🏾‍♀️	Femme Qui Court : Peau Mate
🏃🏿‍♀️	Femme Qui Court : Peau Foncée
💃	Danseuse
💃🏻	Danseuse : Peau Claire
💃🏼	Danseuse : Peau Moyennement Claire
💃🏽	Danseuse : Peau Légèrement Mate
💃🏾	Danseuse : Peau Mate
💃🏿	Danseuse : Peau Foncée
🕺	Danseur
🕺🏻	Danseur : Peau Claire
🕺🏼	Danseur : Peau Moyennement Claire
🕺🏽	Danseur : Peau Légèrement Mate
🕺🏾	Danseur : Peau Mate
🕺🏿	Danseur : Peau Foncée
🕴️	Homme D’affaires En Lévitation
🕴🏻	Homme D’affaires En Lévitation : Peau Claire
🕴🏼	Homme D’affaires En Lévitation : Peau Moyennement Claire
🕴🏽	Homme D’affaires En Lévitation : Peau Légèrement Mate
🕴🏾	Homme D’affaires En Lévitation : Peau Mate
🕴🏿	Homme D’affaires En Lévitation : Peau Foncée
👯	Personnes Avec Des Oreilles De Lapin
👯‍♂️	Hommes Avec Des Oreilles De Lapin
👯‍♀️	Femmes Avec Des Oreilles De Lapin
🧖	Personne Au Hammam
🧖🏻	Personne Au Hammam : Peau Claire
🧖🏼	Personne Au Hammam : Peau Moyennement Claire
🧖🏽	Personne Au Hammam : Peau Légèrement Mate
🧖🏾	Personne Au Hammam : Peau Mate
🧖🏿	Personne Au Hammam : Peau Foncée
🧖‍♂️	Homme Au Hammam
🧖🏻‍♂️	Homme Au Hammam : Peau Claire
🧖🏼‍♂️	Homme Au Hammam : Peau Moyennement Claire
🧖🏽‍♂️	Homme Au Hammam : Peau Légèrement Mate
🧖🏾‍♂️	Homme Au Hammam : Peau Mate
🧖🏿‍♂️	Homme Au Hammam : Peau Foncée
🧖‍♀️	Femme Au Hammam
🧖🏻‍♀️	Femme Au Hammam : Peau Claire
🧖🏼‍♀️	Femme Au Hammam : Peau Moyennement Claire
🧖🏽‍♀️	Femme Au Hammam : Peau Légèrement Mate
🧖🏾‍♀️	Femme Au Hammam : Peau Mate
🧖🏿‍♀️	Femme Au Hammam : Peau Foncée
🧗	Personne Qui Grimpe
🧗🏻	Personne Qui Grimpe : Peau Claire
🧗🏼	Personne Qui Grimpe : Peau Moyennement Claire
🧗🏽	Personne Qui Grimpe : Peau Légèrement Mate
🧗🏾	Personne Qui Grimpe : Peau Mate
🧗🏿	Personne Qui Grimpe : Peau Foncée
🧗‍♂️	Homme Qui Grimpe
🧗🏻‍♂️	Homme Qui Grimpe : Peau Claire
🧗🏼‍♂️	Homme Qui Grimpe : Peau Moyennement Claire
🧗🏽‍♂️	Homme Qui Grimpe : Peau Légèrement Mate
🧗🏾‍♂️	Homme Qui Grimpe : Peau Mate
🧗🏿‍♂️	Homme Qui Grimpe : Peau Foncée
🧗‍♀️	Femme Qui Grimpe
🧗🏻‍♀️	Femme Qui Grimpe : Peau Claire
🧗🏼‍♀️	Femme Qui Grimpe : Peau Moyennement Claire
🧗🏽‍♀️	Femme Qui Grimpe : Peau Légèrement Mate
🧗🏾‍♀️	Femme Qui Grimpe : Peau Mate
🧗🏿‍♀️	Femme Qui Grimpe : Peau Foncée
🤺	Escrimeur
🏇	Course Hippique
🏇🏻	Course Hippique : Peau Claire
🏇🏼	Course Hippique : Peau Moyennement Claire
🏇🏽	Course Hippique : Peau Légèrement Mate
🏇🏾	Course Hippique : Peau Mate
🏇🏿	Course Hippique : Peau Foncée
⛷️	Skieur
🏂	Snowboardeur
🏂🏻	Snowboardeur : Peau Claire
🏂🏼	Snowboardeur : Peau Moyennement Claire
🏂🏽	Snowboardeur : Peau Légèrement Mate
🏂🏾	Snowboardeur : Peau Mate
🏂🏿	Snowboardeur : Peau Foncée
🏌️	Joueur De Golf
🏌🏻	Joueur De Golf : Peau Claire
🏌🏼	Joueur De Golf : Peau Moyennement Claire
🏌🏽	Joueur De Golf : Peau Légèrement Mate
🏌🏾	Joueur De Golf : Peau Mate
🏌🏿	Joueur De Golf : Peau Foncée
🏌️‍♂️	Golfeur
🏌🏻‍♂️	Golfeur : Peau Claire
🏌🏼‍♂️	Golfeur : Peau Moyennement Claire
🏌🏽‍♂️	Golfeur : Peau Légèrement Mate
🏌🏾‍♂️	Golfeur : Peau Mate
🏌🏿‍♂️	Golfeur : Peau Foncée
🏌️‍♀️	Golfeuse
🏌🏻‍♀️	Golfeuse : Peau Claire
🏌🏼‍♀️	Golfeuse : Peau Moyennement Claire
🏌🏽‍♀️	Golfeuse : Peau Légèrement Mate
🏌🏾‍♀️	Golfeuse : Peau Mate
🏌🏿‍♀️	Golfeuse : Peau Foncée
🏄	Personne Faisant Du Surf
🏄🏻	Personne Faisant Du Surf : Peau Claire
🏄🏼	Personne Faisant Du Surf : Peau Moyennement Claire
🏄🏽	Personne Faisant Du Surf : Peau Légèrement Mate
🏄🏾	Personne Faisant Du Surf : Peau Mate
🏄🏿	Personne Faisant Du Surf : Peau Foncée
🏄‍♂️	Surfeur
🏄🏻‍♂️	Surfeur : Peau Claire
🏄🏼‍♂️	Surfeur : Peau Moyennement Claire
🏄🏽‍♂️	Surfeur : Peau Légèrement Mate
🏄🏾‍♂️	Surfeur : Peau Mate
🏄🏿‍♂️	Surfeur : Peau Foncée
